date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2023-01-01,DNK,DKK,Denmark,37,6.8401,5.40927764213974,0.00919,0.03406,0.159,0.71646,0.52903,68846.2111481081,4.78323216440074,0.03204,-0.0458,0.09931,0.66102,0.30032
2023-01-01,EGY,EGP,Egypt,55,29.845,1.84285474953929,-0.65618,-0.64771,-0.60515,-0.41523,-0.47908,7338.89562763636,3.89539747634013,-0.56826,-0.60083,-0.54012,-0.30514,-0.45603
2023-01-01,EUZ,EUR,Euro area,4.81,0.9195,5.23110386079391,-0.02405,0,0.12082,0.65992,0.47867,43253.7922350646,4.41381533861169,0.08158,0,0.15208,0.74075,0.36274
2023-01-01,GBR,GBP,Britain,3.79,0.81205,4.6672002955483,-0.12925,-0.1078,0,0.48098,0.31927,51781.5132242744,4.53690974519172,-0.06119,-0.13201,0,0.51096,0.18285
2023-01-01,GTM,GTQ,Guatemala,27,7.8438,3.44220913332823,-0.3578,-0.34197,-0.26247,0.09227,-0.027,7698.08004148148,3.90058216663792,-0.19465,-0.25539,-0.14215,0.29618,0.01471
2023-01-01,HKG,HKD,Hong Kong,21,7.8307,2.68175258916827,-0.49967,-0.48734,-0.4254,-0.14903,-0.24195,98396.3881104762,5.20977772119371,-0.53024,-0.56567,-0.49962,-0.24394,-0.40812
2023-01-01,HND,HNL,Honduras,100,24.7,4.04858299595142,-0.24467,-0.22606,-0.13255,0.28468,0.14441,4043.4259336,3.84782862565855,-0.03979,-0.11221,0.0228,0.54541,0.20982
2023-01-01,HUN,HUF,Hungary,1350,359.4686,3.75554359963568,-0.29934,-0.28207,-0.19533,0.1917,0.06157,25420.3978782222,4.15639707898045,-0.17542,-0.23761,-0.12167,0.32713,0.03894
2023-01-01,IDN,IDR,Indonesia,35000,14887.5,2.35096557514694,-0.56139,-0.55058,-0.49628,-0.254,-0.33546,10914.0666115109,3.94700370867805,-0.45643,-0.49743,-0.42099,-0.12515,-0.31512
2023-01-01,IND,INR,India,207,81.715,2.53319463990699,-0.52739,-0.51574,-0.45723,-0.19617,-0.28395,4953.16895690821,3.86096041992529,-0.40124,-0.4464,-0.36221,-0.03633,-0.24559
2023-01-01,ISR,ILS,Israel,17,3.36365,5.05403356472879,-0.05708,-0.03385,0.08288,0.60373,0.42862,57968.1846541177,4.626211992454,-0.00301,-0.07821,0.06198,0.60461,0.25616
2023-01-01,JOR,JOD,Jordan,2.5,0.71005,3.52087881135131,-0.34312,-0.32693,-0.24561,0.11723,-0.00476,7206.67008,3.89348885088889,-0.17474,-0.23699,-0.12095,0.32821,0.03979
2023-01-01,JPN,JPY,Japan,410,130.1,3.15142198308993,-0.41205,-0.39756,-0.32477,0,-0.10919,58143.202464,4.62873830792277,-0.37867,-0.42553,-0.33817,0,-0.21715
2023-01-01,KOR,KRW,South Korea,4900,1235.45,3.96616617426849,-0.26004,-0.24181,-0.1502,0.25853,0.12111,45559.6535503837,4.44709956902028,-0.1861,-0.24749,-0.13304,0.30994,0.02548
2023-01-01,KWT,KWD,Kuwait,1.9,0.30535,6.22236777468479,0.16089,0.18949,0.33321,0.97446,0.75887,33114.164631579,4.26745367359324,0.33066,0.23029,0.41739,1.14162,0.67656
2023-01-01,LBN,LBP,Lebanon,170000,38000,4.47368421052632,-0.16536,-0.14479,-0.04146,0.41958,0.26457,,,,,,,
